outer_fold,feature,segment,train_n,train_positives,selected_source,champion_auc_train4,cat_auc_train4,xgb_auc_train4,lgbm_auc_train4
0,audit_commute_5km,45,53873,8557,CHAMPION,0.9458721007856089,0.9455878993755179,0.945757482292061,0.9457572527739788
0,audit_commute_5km,30,52338,8786,CHAMPION,0.9442054717607316,0.9437334895200985,0.9442043440921056,0.9440528627845082
0,audit_commute_5km,15,22491,5285,CHAMPION,0.9426568485988309,0.9424218257453699,0.9425223385255039,0.9423508839571155
0,audit_commute_5km,5,116822,21529,CHAMPION,0.9444541751013069,0.944022403568434,0.944444095956757,0.9443268760613155
0,audit_commute_5km,35,46125,8226,CHAMPION,0.945308230501217,0.9449070673190024,0.9452703035472086,0.9451742849067525
0,audit_commute_5km,40,46968,8512,CHAMPION,0.9473190560963335,0.9470995716005285,0.9472459343120972,0.9470928125210181
0,audit_commute_5km,25,43124,7523,CHAMPION,0.9445000688001828,0.9441152074510615,0.9444481806965629,0.9443581540713606
0,audit_commute_5km,10,6987,2105,CHAMPION,0.9447165456312927,0.9443731444513317,0.9445858118581906,0.9439608003028237
0,audit_commute_5km,60,13501,1898,CHAMPION,0.9485219294417788,0.9480461658883866,0.9484210553082679,0.9481043790953013
0,audit_commute_5km,70,2136,324,CHAMPION,0.9570847981903906,0.9566027580192408,0.956824189899981,0.9566129779521979
1,audit_commute_5km,20,39925,7268,CHAMPION,0.9450745633021693,0.9446117762701864,0.9450131711220893,0.9450103167006498
1,audit_commute_5km,5,116621,21512,CHAMPION,0.9434638751726254,0.9430073556538353,0.9434556238894615,0.943323737768438
1,audit_commute_5km,35,46069,8148,CHAMPION,0.9448926822870536,0.9445357064632093,0.9448465142963092,0.944741517313783
1,audit_commute_5km,55,34496,5266,CHAMPION,0.948330217966937,0.9478805839304524,0.9482475251937338,0.9481602750115348
1,audit_commute_5km,40,47046,8636,CHAMPION,0.946328881998775,0.9460354604442763,0.9462749401010694,0.9461807460255195
1,audit_commute_5km,50,45542,7466,CHAMPION,0.9465109269244726,0.9460359315770027,0.9464847199449706,0.9463982034943184
1,audit_commute_5km,30,52353,8777,CHAMPION,0.9443674933435748,0.9439152564117556,0.9443518697551362,0.9442224571313625
1,audit_commute_5km,65,9188,507,CAT,0.9454745644833634,0.9459754429803964,0.9452386097003432,0.9433915279395684
1,audit_commute_5km,25,43245,7514,CHAMPION,0.9450193955489146,0.9446825805938046,0.9449757838058965,0.9448473435166971
1,audit_commute_5km,45,54106,8563,CHAMPION,0.9461604211256396,0.9458748932640844,0.9460875298062008,0.9460170244777468
1,audit_commute_5km,15,22537,5332,CHAMPION,0.9429409499279788,0.9428055030322533,0.9427642111050867,0.9426609812871701
1,audit_commute_5km,60,13460,1916,CHAMPION,0.9509357272601011,0.9503567949875361,0.9508672093484202,0.9505805237146573
1,audit_commute_5km,10,7038,2151,CHAMPION,0.9431137191937129,0.943094598074551,0.9428727550402937,0.9423175766749743
1,audit_commute_5km,70,2087,318,CHAMPION,0.9630320936036777,0.9627227833655088,0.9629592101567528,0.9623636990660254
2,audit_commute_5km,20,39848,7248,CHAMPION,0.9454765435609909,0.9450531985129811,0.9454157948374166,0.9454012467158277
2,audit_commute_5km,5,116989,21559,XGB,0.9438514411689491,0.9433481125031646,0.9438628175567203,0.9437552841900699
2,audit_commute_5km,35,46008,8142,CHAMPION,0.9445919299024474,0.9442645414099906,0.9444968146670045,0.9444879776379346
2,audit_commute_5km,50,45590,7466,CHAMPION,0.945798027615724,0.9453883696392135,0.945764275473357,0.9456226004429609
2,audit_commute_5km,55,34358,5291,CHAMPION,0.9482276126408649,0.9478151732254323,0.9481905727132273,0.9479492101021672
2,audit_commute_5km,40,47040,8597,CHAMPION,0.946318773665657,0.9460330654064104,0.9462524034176656,0.946163081197204
2,audit_commute_5km,30,52627,8797,CHAMPION,0.9439252321178189,0.943486375623615,0.9439024102107278,0.9438086262944418
2,audit_commute_5km,25,43011,7535,CHAMPION,0.9440886042905872,0.9437661361273952,0.9440148981903745,0.9439313290710926
2,audit_commute_5km,15,22588,5330,CHAMPION,0.942478584040857,0.942289732885116,0.9423501122029057,0.9421084916541955
2,audit_commute_5km,45,53929,8523,CHAMPION,0.9450197872926314,0.9446270047831945,0.9449440861222985,0.9449251931298459
2,audit_commute_5km,10,7007,2154,CHAMPION,0.9427894585493165,0.9426321407409405,0.9425633590418087,0.9420069830165645
2,audit_commute_5km,65,9079,508,CHAMPION,0.9419576129725122,0.941847371239953,0.9415210097775232,0.9408116731295882
