feature,segment,n,positives,positive_rate,cat_auc,xgb_auc,lgbm_auc,champion_auc,best_member,best_member_auc,best_member_minus_champion,champion_rank_error_pos,champion_rank_error_neg,champion_rank_error_balanced,cat_xgb_rank_disagreement,xgb_lgbm_rank_disagreement,cat_lgbm_rank_disagreement,max_rank_disagreement,evaluable_folds,cat_fold_wins,xgb_fold_wins,lgbm_fold_wins,champion_fold_wins,best_member_fold_wins,stable_member_signal
audit_income_1k,90000,10885,1944,0.17859439595774002,0.9479081373871604,0.9487778074648485,0.9489184470854432,0.9488804752508788,LGBM,0.9489184470854432,3.797183456433206e-05,0.05050976180086933,0.054436105467653546,0.052472933634261434,0.023080328016723935,0.00849148441900021,0.023547200385814586,0.027559506410769364,5,0,0,3,2,3,False
audit_income_1k,91000,15454,3013,0.19496570467192958,0.9332052465199633,0.9334827461622845,0.933482412693189,0.9335294451743861,XGB,0.9334827461622845,-4.6699012101525383e-05,0.05470486535192957,0.06588863933092982,0.0602967523414297,0.013224387157809466,0.007726055510584504,0.014663400765768476,0.01780692171708122,5,1,1,1,2,1,False
audit_income_1k,92000,13074,3061,0.23412880526235277,0.9369549249484327,0.9370358390348672,0.9366800128144424,0.9370148764136842,XGB,0.9370358390348672,2.096262118300718e-05,0.04607836445747511,0.0727139857636515,0.059396175110563304,0.012690455826763909,0.007783804175940855,0.014750319419147348,0.017612289710926054,5,3,2,0,0,2,False
audit_income_1k,93000,13859,2242,0.16177213363157514,0.9317118042808007,0.9321279443972148,0.9320795287781902,0.9321715606884218,XGB,0.9321279443972148,-4.3616291206971525e-05,0.06336779608355102,0.05729423041498683,0.06033101324926893,0.014357510209959993,0.008063543846534963,0.015343536826938352,0.018882295441716653,5,1,1,1,2,1,False
audit_income_1k,94000,14255,2687,0.18849526481936163,0.9331873510128426,0.9330840155021283,0.9328846474573287,0.9331683697079478,CAT,0.9331873510128426,1.8981304894749584e-05,0.05692635641524436,0.06306289199585978,0.05999462420555207,0.013891573739738983,0.0077491672412399815,0.014809288970411508,0.018225014975695234,5,2,1,0,2,2,False
audit_income_1k,95000,11152,2289,0.20525466284074606,0.9386756769852351,0.9388706008609183,0.9389274341467099,0.938970983329708,LGBM,0.9389274341467099,-4.354918299809274e-05,0.04954102325540423,0.06590118930540959,0.05772110628040691,0.01453950646817084,0.0077894716737941004,0.01623318625375959,0.019281082197862266,5,0,0,3,2,3,False
audit_income_1k,96000,12779,2229,0.17442679395883873,0.9442790106289561,0.9441252001301244,0.9437762454844478,0.9441897307997338,CAT,0.9442790106289561,8.927982922235511e-05,0.05497285854220122,0.05492052493207387,0.054946691737137544,0.015157438202042824,0.008880270465108366,0.017383434492459195,0.020710571579805194,5,2,2,0,1,2,False
audit_income_1k,97000,5911,1110,0.18778548468956183,0.9338864275648279,0.9342509349591208,0.9342914670554746,0.934351326957034,LGBM,0.9342914670554746,-5.985990155943366e-05,0.05508908795728899,0.06362290751562645,0.05935599773645772,0.014427502124385204,0.00922920582434545,0.01677453367956888,0.020215620814149765,5,1,0,3,1,3,False
audit_income_1k,98000,3217,870,0.27043829654958035,0.9396326442658518,0.9396162378972421,0.9399321217107679,0.9397834849085897,LGBM,0.9399321217107679,0.00014863680217824804,0.039053718656955685,0.07960865653272953,0.059331187594842606,0.014257273923992874,0.010232895283084633,0.016903160875989174,0.02069666504153334,5,0,0,4,1,4,True
audit_income_1k,99000,5299,963,0.18173240234006416,0.9445270679342308,0.9445718522605787,0.9445912508190503,0.944740452077418,LGBM,0.9445912508190503,-0.00014920125836770382,0.04955453725564924,0.05987052798408854,0.05471253261986889,0.0172617191216733,0.009919497670142129,0.020424081232057013,0.02380264901193622,5,2,0,1,2,1,False
audit_income_1k,100000,5151,1873,0.36361871481265773,0.9367255110759591,0.9368398490217916,0.9362873784915012,0.9368819520972869,XGB,0.9368398490217916,-4.210307549523673e-05,0.027817271369090575,0.10635633587095969,0.06708680362002513,0.014714650987421756,0.010887958568419467,0.01759039901657159,0.02159650428620641,5,3,0,0,2,0,False
audit_income_1k,101000,6025,1011,0.16780082987551867,0.9233260619030316,0.923682926184527,0.923752563050955,0.923774361560134,LGBM,0.923752563050955,-2.1798509179049574e-05,0.0620364548831891,0.06568212589298555,0.06385929038808733,0.01369313110507271,0.015068664623848106,0.017934566282795536,0.023348181005858178,5,0,2,2,1,2,False
audit_income_1k,102000,6855,1659,0.24201312910284464,0.9367271898771299,0.936405850283127,0.9364703502160747,0.9365500470756706,CAT,0.9367271898771299,0.00017714280145930683,0.04450714259271998,0.07399243286179066,0.059249787727255324,0.012386321236230066,0.007216113245404668,0.014061425494149122,0.016831929987891927,5,3,0,2,0,3,False
audit_income_1k,103000,6227,1265,0.20314758310582945,0.937596882552458,0.9381721637807018,0.9386212686775222,0.9382356502302878,LGBM,0.9386212686775222,0.00038561844723439265,0.04942619615590829,0.06623385624632236,0.057830026201115325,0.014100483559643504,0.007520331141272673,0.015537327935472951,0.018579071318194564,5,0,1,4,0,4,True
audit_income_1k,104000,7814,1779,0.22766828768876377,0.9365216860798424,0.9371164925604947,0.9368327812325795,0.9370233037280655,XGB,0.9371164925604947,9.318883242914744e-05,0.045349432119626776,0.0726142972684516,0.05898186469403919,0.012324816376987277,0.006737038322968595,0.013209484076216632,0.016135669388086256,5,0,4,1,0,4,True
audit_income_1k,105000,5403,1275,0.2359800111049417,0.9353849369205047,0.9358462532299742,0.9357105943152455,0.9358672480620156,XGB,0.9358462532299742,-2.0994832041432154e-05,0.046210062706186904,0.07380720766635926,0.060008635186273085,0.013193493176053752,0.007338793332892484,0.014223517421852813,0.017377901965399522,5,0,3,2,0,3,False
