our,theirs,rho,alpha,auc
xgb_ref,lightgbm_fine_income_highres_singleton_cpu::oof_prediction,0.9957467335758692,0.6,0.9462647892703588
xgb_ref,lightgbm_fine_income_highres_singleton_cpu::oof_prediction,0.9957467335758692,0.7,0.946293689056373
cat_ref,lightgbm_fine_income_highres_singleton_cpu::oof_prediction,0.9900746720877807,0.5,0.9461576889562374
cat_ref,lightgbm_fine_income_highres_singleton_cpu::oof_prediction,0.9900746720877807,0.6,0.946189813757116
cat_ref,lightgbm_fine_income_highres_singleton_cpu::oof_prediction,0.9900746720877807,0.7,0.9462039891488326
lr,lightgbm_fine_income_highres_singleton_cpu::oof_prediction,0.9906921270748306,0.5,0.9458352813118707
lr,lightgbm_fine_income_highres_singleton_cpu::oof_prediction,0.9906921270748306,0.6,0.9457645246893158
lr,lightgbm_fine_income_highres_singleton_cpu::oof_prediction,0.9906921270748306,0.7,0.9456572931700555
OURS_BLEND,lightgbm_fine_income_highres_singleton_cpu::oof_prediction,0.9966029363642974,0.5,0.9462138568738206
OURS_BLEND,lightgbm_fine_income_highres_singleton_cpu::oof_prediction,0.9966029363642974,0.6,0.9462639184769341
OURS_BLEND,lightgbm_fine_income_highres_singleton_cpu::oof_prediction,0.9966029363642974,0.7,0.9462985528165944
lgbm_ref,lightgbm_fine_income_te_cpu::oof_prediction,0.9967761253120306,0.5,0.9462870143440503
lgbm_ref,lightgbm_fine_income_te_cpu::oof_prediction,0.9967761253120306,0.6,0.9463120566896732
lgbm_ref,lightgbm_fine_income_te_cpu::oof_prediction,0.9967761253120306,0.7,0.9463234658035085
xgb_ref,lightgbm_fine_income_te_cpu::oof_prediction,0.9963626653611605,0.5,0.9462905914917226
xgb_ref,lightgbm_fine_income_te_cpu::oof_prediction,0.9963626653611605,0.6,0.9463162477597824
xgb_ref,lightgbm_fine_income_te_cpu::oof_prediction,0.9963626653611605,0.7,0.9463278462490574
cat_ref,lightgbm_fine_income_te_cpu::oof_prediction,0.9897461686607063,0.5,0.9462451017577385
cat_ref,lightgbm_fine_income_te_cpu::oof_prediction,0.9897461686607063,0.6,0.9462560600944103
cat_ref,lightgbm_fine_income_te_cpu::oof_prediction,0.9897461686607063,0.7,0.9462510228706307
